Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:    0 12:24:47   -10245.137635        0.0190
BFGS:    1 12:24:47   -10245.137656        0.0074
BFGS:    2 12:24:54   -10245.137660        0.0023
BFGS:    3 12:24:54   -10245.137660        0.0019
BFGS:    4 12:24:54   -10245.137661        0.0011
BFGS:    5 12:24:54   -10245.137661        0.0011
BFGS:    6 12:24:54   -10245.137662        0.0017
BFGS:    7 12:24:54   -10245.137663        0.0026
BFGS:    8 12:24:54   -10245.137665        0.0036
BFGS:    9 12:24:54   -10245.137667        0.0032
BFGS:   10 12:24:54   -10245.137669        0.0013
BFGS:   11 12:24:54   -10245.137669        0.0002
      Step     Time          Energy         fmax
BFGS:    0 12:24:54   -10245.157705        0.0367
BFGS:    1 12:24:54   -10245.157808        0.0208
BFGS:    2 12:24:54   -10245.157844        0.0059
BFGS:    3 12:24:54   -10245.157850        0.0062
BFGS:    4 12:24:54   -10245.157855        0.0030
BFGS:    5 12:24:54   -10245.157856        0.0030
BFGS:    6 12:24:54   -10245.157859        0.0051
BFGS:    7 12:24:54   -10245.157864        0.0074
BFGS:    8 12:24:54   -10245.157877        0.0103
BFGS:    9 12:24:54   -10245.157896        0.0134
BFGS:   10 12:24:54   -10245.157915        0.0103
BFGS:   11 12:24:54   -10245.157923        0.0037
BFGS:   12 12:24:54   -10245.157924        0.0004
MM' and 2H energies : -10245.137668853778 , -10245.157923630046
      Step     Time          Energy         fmax
BFGS:    0 12:25:01 -1905596.786097        0.0009
/home/p/phrrpq/.local/lib/python3.10/site-packages/ase/io/extxyz.py:1000: UserWarning: write_xyz() overwriting array "forces" present in atoms.arrays with stored results from calculator
  warnings.warn('write_xyz() overwriting array "{0}" present '
39 39 186 80 106
Combined bilayer energy = -1905596.7860965442
Energy cost per unit length : 0.08763761988995755
Prev_energy - Current_energy = 0.0
      Step     Time          Energy         fmax
BFGS:    0 12:25:02 -1905596.786097        0.1686
BFGS:    1 12:25:24 -1905596.787460        0.1104
BFGS:    2 12:25:47 -1905596.788846        0.0420
BFGS:    3 12:26:10 -1905596.789238        0.0429
BFGS:    4 12:26:34 -1905596.790864        0.0592
BFGS:    5 12:26:58 -1905596.791498        0.0427
BFGS:    6 12:27:22 -1905596.791816        0.0197
BFGS:    7 12:27:46 -1905596.791994        0.0171
BFGS:    8 12:28:10 -1905596.792282        0.0297
BFGS:    9 12:28:34 -1905596.792582        0.0328
BFGS:   10 12:28:57 -1905596.792821        0.0178
BFGS:   11 12:29:22 -1905596.792967        0.0137
BFGS:   12 12:29:46 -1905596.793092        0.0144
BFGS:   13 12:30:10 -1905596.793236        0.0207
BFGS:   14 12:30:33 -1905596.793379        0.0187
BFGS:   15 12:30:58 -1905596.793490        0.0143
BFGS:   16 12:31:23 -1905596.793575        0.0103
BFGS:   17 12:31:48 -1905596.793662        0.0144
BFGS:   18 12:32:12 -1905596.793764        0.0165
BFGS:   19 12:32:37 -1905596.793860        0.0190
BFGS:   20 12:33:00 -1905596.793932        0.0127
BFGS:   21 12:33:26 -1905596.793985        0.0082
BFGS:   22 12:33:49 -1905596.794041        0.0090
BFGS:   23 12:34:14 -1905596.794113        0.0165
BFGS:   24 12:34:39 -1905596.794189        0.0176
BFGS:   25 12:35:04 -1905596.794250        0.0100
BFGS:   26 12:35:29 -1905596.794293        0.0065
BFGS:   27 12:35:55 -1905596.794334        0.0089
