Starting calculations for AP-MoS2/MoS2
      Step     Time          Energy         fmax
BFGS:    0 14:38:11   -10245.137635        0.0190
BFGS:    1 14:38:12   -10245.137656        0.0074
BFGS:    2 14:38:18   -10245.137660        0.0023
BFGS:    3 14:38:18   -10245.137660        0.0019
BFGS:    4 14:38:18   -10245.137661        0.0011
BFGS:    5 14:38:18   -10245.137661        0.0011
BFGS:    6 14:38:18   -10245.137662        0.0017
BFGS:    7 14:38:18   -10245.137663        0.0026
BFGS:    8 14:38:18   -10245.137665        0.0036
BFGS:    9 14:38:18   -10245.137667        0.0032
BFGS:   10 14:38:18   -10245.137669        0.0013
BFGS:   11 14:38:18   -10245.137669        0.0002
      Step     Time          Energy         fmax
BFGS:    0 14:38:18   -10245.157705        0.0367
BFGS:    1 14:38:18   -10245.157808        0.0208
BFGS:    2 14:38:18   -10245.157844        0.0059
BFGS:    3 14:38:18   -10245.157850        0.0062
BFGS:    4 14:38:18   -10245.157855        0.0030
BFGS:    5 14:38:18   -10245.157856        0.0030
BFGS:    6 14:38:18   -10245.157859        0.0051
BFGS:    7 14:38:18   -10245.157864        0.0074
BFGS:    8 14:38:18   -10245.157877        0.0103
BFGS:    9 14:38:18   -10245.157896        0.0134
BFGS:   10 14:38:18   -10245.157915        0.0103
BFGS:   11 14:38:18   -10245.157923        0.0037
BFGS:   12 14:38:18   -10245.157924        0.0004
MM' and 2H energies : -10245.137668853778 , -10245.157923630046
      Step     Time          Energy         fmax
BFGS:    0 14:38:25 -1905596.920915        0.0010
/home/p/phrrpq/.local/lib/python3.10/site-packages/ase/io/extxyz.py:1000: UserWarning: write_xyz() overwriting array "forces" present in atoms.arrays with stored results from calculator
  warnings.warn('write_xyz() overwriting array "{0}" present '
36 36 186 74 112
Combined bilayer energy = -1905596.9209146958
Energy cost per unit length : 0.08643360903136564
Prev_energy - Current_energy = 0.0
      Step     Time          Energy         fmax
BFGS:    0 14:38:26 -1905596.920915        0.1212
BFGS:    1 14:38:55 -1905596.921610        0.0795
BFGS:    2 14:39:24 -1905596.922318        0.0301
BFGS:    3 14:39:56 -1905596.922516        0.0307
BFGS:    4 14:40:29 -1905596.923354        0.0427
BFGS:    5 14:41:00 -1905596.923681        0.0309
BFGS:    6 14:41:31 -1905596.923848        0.0141
BFGS:    7 14:42:03 -1905596.923942        0.0123
