Starting calculations for AP-WS2/WS2
      Step     Time          Energy         fmax
BFGS:    0 14:38:11   -11331.186919        0.0383
BFGS:    1 14:38:12   -11331.186996        0.0248
BFGS:    2 14:38:18   -11331.187053        0.0172
BFGS:    3 14:38:18   -11331.187081        0.0193
BFGS:    4 14:38:18   -11331.187138        0.0160
BFGS:    5 14:38:18   -11331.187199        0.0259
BFGS:    6 14:38:18   -11331.187335        0.0401
BFGS:    7 14:38:18   -11331.187583        0.0524
BFGS:    8 14:38:18   -11331.187972        0.0532
BFGS:    9 14:38:18   -11331.188307        0.0326
BFGS:   10 14:38:18   -11331.188418        0.0117
BFGS:   11 14:38:18   -11331.188431        0.0018
BFGS:   12 14:38:18   -11331.188432        0.0001
      Step     Time          Energy         fmax
BFGS:    0 14:38:18   -11331.210339        0.0366
BFGS:    1 14:38:18   -11331.210400        0.0153
BFGS:    2 14:38:18   -11331.210414        0.0067
BFGS:    3 14:38:18   -11331.210420        0.0077
BFGS:    4 14:38:18   -11331.210462        0.0162
BFGS:    5 14:38:18   -11331.210525        0.0247
BFGS:    6 14:38:18   -11331.210643        0.0323
BFGS:    7 14:38:18   -11331.210770        0.0299
BFGS:    8 14:38:18   -11331.210857        0.0172
BFGS:    9 14:38:18   -11331.210891        0.0101
BFGS:   10 14:38:18   -11331.210902        0.0053
BFGS:   11 14:38:18   -11331.210904        0.0024
BFGS:   12 14:38:18   -11331.210904        0.0005
MM' and 2H energies : -11331.188432229417 , -11331.210904485179
      Step     Time          Energy         fmax
BFGS:    0 14:38:25 -2107602.578225        0.0009
/home/p/phrrpq/.local/lib/python3.10/site-packages/ase/io/extxyz.py:1000: UserWarning: write_xyz() overwriting array "forces" present in atoms.arrays with stored results from calculator
  warnings.warn('write_xyz() overwriting array "{0}" present '
37 37 186 76 110
Combined bilayer energy = -2107602.5782248997
Energy cost per unit length : 0.08523169999718011
Prev_energy - Current_energy = 0.0
      Step     Time          Energy         fmax
BFGS:    0 14:38:26 -2107602.578225        0.1452
BFGS:    1 14:38:56 -2107602.579237        0.0935
BFGS:    2 14:39:28 -2107602.580262        0.0385
BFGS:    3 14:40:00 -2107602.580595        0.0396
BFGS:    4 14:40:34 -2107602.581850        0.0544
BFGS:    5 14:41:06 -2107602.582367        0.0395
BFGS:    6 14:41:37 -2107602.582627        0.0167
BFGS:    7 14:42:10 -2107602.582771        0.0155
BFGS:    8 14:42:42 -2107602.583001        0.0263
BFGS:    9 14:43:13 -2107602.583242        0.0294
BFGS:   10 14:43:46 -2107602.583438        0.0161
BFGS:   11 14:44:18 -2107602.583562        0.0134
BFGS:   12 14:44:51 -2107602.583672        0.0134
BFGS:   13 14:45:23 -2107602.583796        0.0189
BFGS:   14 14:45:55 -2107602.583911        0.0150
BFGS:   15 14:46:29 -2107602.583997        0.0098
BFGS:   16 14:47:02 -2107602.584068        0.0098
BFGS:   17 14:47:35 -2107602.584151        0.0155
BFGS:   18 14:48:06 -2107602.584246        0.0152
BFGS:   19 14:48:38 -2107602.584327        0.0144
BFGS:   20 14:49:09 -2107602.584380        0.0078
BFGS:   21 14:49:42 -2107602.584425        0.0092
BFGS:   22 14:50:14 -2107602.584481        0.0115
BFGS:   23 14:50:47 -2107602.584549        0.0147
BFGS:   24 14:51:19 -2107602.584612        0.0127
BFGS:   25 14:51:52 -2107602.584656        0.0064
BFGS:   26 14:52:24 -2107602.584693        0.0069
BFGS:   27 14:52:55 -2107602.584734        0.0100
BFGS:   28 14:53:28 -2107602.584782        0.0123
BFGS:   29 14:54:00 -2107602.584826        0.0079
BFGS:   30 14:54:34 -2107602.584862        0.0065
BFGS:   31 14:55:07 -2107602.584895        0.0075
BFGS:   32 14:55:39 -2107602.584933        0.0119
BFGS:   33 14:56:13 -2107602.584973        0.0104
BFGS:   34 14:56:47 -2107602.585006        0.0059
BFGS:   35 14:57:19 -2107602.585033        0.0045
BFGS:   36 14:57:51 -2107602.585061        0.0104
BFGS:   37 14:58:24 -2107602.585095        0.0126
BFGS:   38 14:58:56 -2107602.585130        0.0089
BFGS:   39 14:59:29 -2107602.585158        0.0048
BFGS:   40 15:00:02 -2107602.585181        0.0060
BFGS:   41 15:00:34 -2107602.585205        0.0103
BFGS:   42 15:01:05 -2107602.585233        0.0104
BFGS:   43 15:01:38 -2107602.585260        0.0056
BFGS:   44 15:02:10 -2107602.585283        0.0039
BFGS:   45 15:02:41 -2107602.585304        0.0068
BFGS:   46 15:03:15 -2107602.585329        0.0094
BFGS:   47 15:03:48 -2107602.585354        0.0076
BFGS:   48 15:04:20 -2107602.585376        0.0037
BFGS:   49 15:04:52 -2107602.585396        0.0034
BFGS:   50 15:05:25 -2107602.585416        0.0071
BFGS:   51 15:05:58 -2107602.585441        0.0079
BFGS:   52 15:06:31 -2107602.585464        0.0050
BFGS:   53 15:07:05 -2107602.585483        0.0030
BFGS:   54 15:07:37 -2107602.585501        0.0046
BFGS:   55 15:08:09 -2107602.585520        0.0068
BFGS:   56 15:08:40 -2107602.585541        0.0057
